Symbol,Last Trade,Change ,High  ,Low   ,Volume   ,Prev Close,Open ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
ZAGG  ,6.00      ,-0.45  ,6.45  ,6.00  ,269380   ,6.45      ,6.40 ,-6.25      ,-6.98   ,181.45M   ,Consumer Discretionary    ,NASDAQ  ,--       , 
ACRX  ,3.00      ,-0.20  ,3.20  ,3.00  ,147670   ,3.20      ,3.20 ,-6.25      ,-6.25   ,145.07M   ,Health Care               ,NASDAQ  ,--       , 
DXLG  ,3.00      ,-0.10  ,3.20  ,2.825 ,186166   ,3.10      ,3.20 ,-6.25      ,-3.23   ,157.55M   ,Consumer Discretionary    ,NASDAQ  ,--       , 
HRTX  ,14.13     ,-1.02  ,15.05 ,14.10 ,1052139  ,15.15     ,15.05,-6.15      ,-6.77   ,811.66M   ,Health Care               ,NASDAQ  ,--       , 
XONE  ,10.01     ,-0.65  ,10.66 ,9.85  ,128907   ,10.66     ,10.66,-6.10      ,-6.10   ,171.74M   ,Industrials               ,NASDAQ  ,--       , 
ASUR  ,11.14     ,-0.63  ,11.86 ,11.03 ,51366    ,11.77     ,11.86,-6.07      ,-5.35   ,101.58M   ,Information Technology    ,NCM     ,--       , 
WHG   ,56.82     ,-3.96  ,60.48 ,56.56 ,25571    ,60.78     ,60.48,-6.05      ,-6.52   ,534.68M   ,Financials                ,NYSE    ,21.94    , 
CLRO  ,11.65     ,0.00   ,12.40 ,11.50 ,3004     ,11.65     ,12.40,-6.05      ,0.00    ,103.41M   ,Information Technology    ,NASDAQ  ,21.55    , 
SMRT  ,3.59      ,-0.25  ,3.84  ,3.58  ,563237   ,3.84      ,3.82 ,-6.02      ,-6.51   ,180.08M   ,Consumer Discretionary    ,NGM/NGS ,15.91    , 
TSQ   ,10.78     ,-0.62  ,11.52 ,10.78 ,55542    ,11.40     ,11.47,-6.01      ,-5.44   ,156.59M   ,Consumer Discretionary    ,NYSE    ,14.00    , 
BBGI  ,8.65      ,-0.54  ,9.20  ,8.65  ,4222     ,9.19      ,9.20 ,-5.98      ,-5.88   ,111.43M   ,Consumer Discretionary    ,NCM     ,22.85    , 
TRR   ,10.25     ,-0.70  ,10.90 ,10.25 ,17761    ,10.95     ,10.90,-5.96      ,-6.39   ,345.97M   ,Industrials               ,NYSE    ,--       , 
MNTX  ,7.76      ,-0.43  ,8.40  ,7.70  ,72910    ,8.19      ,8.25 ,-5.94      ,-5.25   ,132.68M   ,Industrials               ,NASDAQ  ,--       , 
PLPC  ,45.60     ,-2.90  ,48.45 ,45.60 ,4080     ,48.50     ,48.45,-5.88      ,-5.98   ,248.61M   ,Industrials               ,NCM     ,19.21    , 
FRGI  ,19.68     ,-6.28  ,21.50 ,19.50 ,3273913  ,25.95     ,20.90,-5.86      ,-24.18  ,697.80M   ,Consumer Discretionary    ,NASDAQ  ,30.18    , 
AMAG  ,22.60     ,-1.50  ,24.05 ,22.35 ,709031   ,24.10     ,24.00,-5.83      ,-6.22   ,827.57M   ,Health Care               ,NASDAQ  ,--       , 
PDVW  ,25.48     ,-1.67  ,27.15 ,24.65 ,25933    ,27.15     ,27.05,-5.80      ,-6.15   ,389.41M   ,Telecommunication Services,NASDAQ  ,--       , 
FSTR  ,13.83     ,-0.92  ,14.80 ,13.75 ,9839     ,14.75     ,14.66,-5.72      ,-6.27   ,153.30M   ,Industrials               ,NGM/NGS ,--       , 
WIN   ,7.28      ,-0.57  ,7.79  ,7.235 ,3925607  ,7.85      ,7.72 ,-5.70      ,-7.26   ,755.44M   ,Telecommunication Services,NGM/NGS ,--       , 
SIGM  ,5.80      ,-0.40  ,6.175 ,5.775 ,396432   ,6.20      ,6.15 ,-5.69      ,-6.45   ,234.50M   ,Information Technology    ,NCM     ,--       , 
