Symbol,Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
TIVO  ,18.50     ,-0.80  ,19.45 ,18.20 ,767046    ,19.30     ,19.25 ,-3.90      ,-4.15   ,2.33B     ,Information Technology    ,NCM     ,54.93    , 
AMTD  ,39.42     ,-4.24  ,41.25 ,38.89 ,13361846  ,43.66     ,41.00 ,-3.87      ,-9.72   ,23.04B    ,Financials                ,NGM/NGS ,27.29    , 
UTHR  ,147.67    ,-4.84  ,153.58,146.65,476464    ,152.51    ,153.58,-3.85      ,-3.17   ,6.86B     ,Health Care               ,NGM/NGS ,10.00    , 
FMSA  ,9.50      ,-0.52  ,10.00 ,9.50  ,3409439   ,10.02     ,9.88  ,-3.85      ,-5.19   ,2.27B     ,Energy                    ,NYSE    ,--       , 
CLVS  ,58.08     ,-2.84  ,60.50 ,57.89 ,1420108   ,60.92     ,60.40 ,-3.84      ,-4.66   ,2.72B     ,Health Care               ,NASDAQ  ,--       , 
CDEV  ,18.78     ,-0.76  ,19.59 ,18.48 ,1601499   ,19.54     ,19.53 ,-3.84      ,-3.89   ,3.92B     ,Energy                    ,NASDAQ  ,--       , 
MNK   ,52.37     ,-2.23  ,54.64 ,52.27 ,1444058   ,54.60     ,54.44 ,-3.80      ,-4.08   ,5.72B     ,Health Care               ,NYSE    ,21.19    , 
UA    ,18.55     ,-0.73  ,19.35 ,18.50 ,3536098   ,19.28     ,19.28 ,-3.79      ,-3.79   ,8.20B     ,Consumer Discretionary    ,NYSE    ,43.32    , 
ABX   ,18.45     ,-0.46  ,19.36 ,18.23 ,26283143  ,18.91     ,19.17 ,-3.78      ,-2.46   ,21.99B    ,Materials                 ,NYSE    ,33.77    , 
SPLS  ,8.92      ,-0.39  ,9.27  ,8.82  ,5821069   ,9.31      ,9.27  ,-3.78      ,-4.19   ,6.06B     ,Consumer Discretionary    ,NGM/NGS ,--       , 
EBR/B ,7.67      ,-0.09  ,8.065 ,7.58  ,19547     ,7.76      ,7.97  ,-3.76      ,-1.16   ,9.61B     ,Utilities                 ,NYSE    ,--       , 
SLCA  ,50.45     ,-2.18  ,52.82 ,50.37 ,1741299   ,52.63     ,52.41 ,-3.74      ,-4.14   ,4.27B     ,Energy                    ,NYSE    ,--       , 
BBBY  ,40.21     ,-1.70  ,41.80 ,40.11 ,1836040   ,41.90     ,41.74 ,-3.68      ,-4.05   ,6.30B     ,Consumer Discretionary    ,NGM/NGS ,8.90     , 
JCP   ,6.29      ,-0.35  ,6.53  ,6.27  ,18331312  ,6.64      ,6.53  ,-3.68      ,-5.27   ,2.05B     ,Consumer Discretionary    ,NYSE    ,--       , 
LBTYA ,35.71     ,-1.58  ,37.33 ,35.35 ,4187453   ,37.29     ,37.06 ,-3.64      ,-4.24   ,32.75B    ,Consumer Discretionary    ,NGM/NGS ,22.11    , 
EME   ,61.82     ,-2.13  ,64.31 ,61.66 ,471181    ,63.95     ,64.14 ,-3.62      ,-3.33   ,3.82B     ,Industrials               ,NYSE    ,21.54    , 
TEO   ,21.35     ,-0.63  ,22.15 ,21.03 ,47564     ,21.98     ,22.15 ,-3.61      ,-2.87   ,2.17B     ,Telecommunication Services,NYSE    ,18.22    , 
GRPN  ,4.2701    ,-0.2199,4.44  ,4.22  ,13583251  ,4.49      ,4.43  ,-3.61      ,-4.90   ,2.52B     ,Consumer Discretionary    ,NASDAQ  ,--       , 
BBY   ,44.00     ,-2.15  ,45.62 ,43.75 ,6100398   ,46.15     ,45.62 ,-3.54      ,-4.66   ,14.48B    ,Consumer Discretionary    ,NYSE    ,13.78    , 
LC    ,5.345     ,-0.235 ,5.61  ,5.34  ,5830182   ,5.58      ,5.54  ,-3.52      ,-4.21   ,2.20B     ,Financials                ,NYSE    ,--       , 
