Symbol,% Chg(Open),Last Trade,Volume    ,DM Average (ADX) 14 Day,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,Bollinger Band®(Middle),Industry                            ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
AYI   ,+0.27      ,175.15    ,4451098   ,19.90                  ,29.49    ,9.00B     ,34             ,+2.33                     ,18.85     ,201.42    ,-4.40,-91.98      ,37.35                  ,-14.76            ,204.13                 ,Electrical Equipment                ,NYSE    ,ACUITY BRANDS INC        ,Electrical Components & Equipment    ,0.52    ,204.06        ,175.14,200     ,746747       ,654693      ,596.07                  ,679.88                 ,Yes       ,174.68,180.25,175.26,98.99                 ,672954        ,811634     ,661.43                   ,548.41                ,No                ,Industrials           ,0.30          ,204.06    ,172.11,200     ,695439      ,447.58                    ,640.04                 ,152.78M        ,No                  ,F  ,****     ,B+                 ,64.29          ,7.14                  ,14.29           ,14.29                  ,--              ,14                ,1.79              ,290.80M   ,3.29B  ,290.80M ,44.09M            ,6.92    ,6.63      ,5.09      ,8.72        ,4.05      ,2.95      ,2.72      ,23.50                       ,8.84    ,278.92            ,-28.91 ,-29.46                 ,-0.04                      ,-24.40                 ,-3.35                   ,+21.91               ,+232.34              ,-17.59               ,+1.33     ,209.17       ,214.82   ,100.64                 ,196.78    ,193.06   ,62.65                   ,15.71                        ,-14.17  ,-29.38,-57.74                 ,-0.13                 ,-1.73                  ,-10.68                   ,-11.55               ,+55.27               ,-11.58               ,+19.22            ,46              ,209.17    ,241.60  ,203.05      ,196.78  ,20.95                ,5.10           ,+0.47    ,-14.40,+4.65                   ,-0.07                    ,-0.84                    ,-7.07                 ,-6.28                ,+198.52              ,-22.81               ,+11.12            ,212.42     ,280.89    ,198.03   ,193.06 ,8.14         ,9.00             ,-3.04         ,1.27              ,--                   ,30.78                    ,26.82           ,21.39        ,23.40                ,2.73     ,200.54    ,208.71    ,225.28     ,203.03    ,219.43     ,45.70                ,36.29     ,51.83                   ,8.02 ,218.91              ,-0.85                     ,-62.21         ,208.77    ,240.11     ,202.67    ,209.89    ,222.19     ,31.76     ,44.05                ,52.33         ,39.24,-2.86      ,-31.69         ,-34.61                    ,204.13    ,223.64     ,212.03    ,44.00                ,16.22                   ,53.29   ,189.36                 ,-30.26         ,-2.29                     ,-1990.79   , 
AZO   ,-0.89      ,693.80    ,327006    ,20.75                  ,16.43    ,19.90B    ,42             ,-1.56                     ,28.04     ,716.62    ,-6.70,-98.99      ,3.42                   ,-2.80             ,719.72                 ,Specialty Retail                    ,NYSE    ,AUTOZONE INC             ,Automotive Retail                    ,--      ,700.69        ,693.77,200     ,417341       ,343315      ,78.35                   ,95.25                  ,Yes       ,700.00,705.66,694.39,99.43                 ,362406        ,365466     ,90.23                    ,89.48                 ,No                ,Consumer Discretionary,--            ,700.69    ,693.38,200     ,365204      ,41.05                     ,89.54                  ,296.90M        ,No                  ,D  ,****     ,A-                 ,44.83          ,17.24                 ,37.93           ,--                     ,--              ,29                ,1.93              ,1.24B     ,10.64B ,1.24B   ,28.41M            ,42.64   ,40.70     ,36.03     ,45.32       ,31.57     ,27.79     ,23.48     ,11.71                       ,11.67   ,159.26            ,-6.89  ,-26.70                 ,-2.64                      ,-54.46                 ,-5.29                   ,+5.99                ,+94.47               ,-8.92                ,+0.57     ,721.46       ,735.00   ,113.88                 ,695.16    ,695.16   ,96.58                   ,3.64                         ,-0.98   ,-0.69 ,-101.78                ,-0.03                 ,-20.33                 ,-7.21                    ,-11.28               ,+34.62               ,-8.45                ,-71.15            ,18              ,727.00    ,802.15  ,695.16      ,695.16  ,1.78                 ,11.86          ,-6.20    ,-0.10 ,-11.13                  ,-19.03                   ,-2.82                    ,-39.17                ,-9.24                ,+82.23               ,-5.89                ,+14.70            ,735.00     ,819.54    ,695.16   ,695.16 ,12.28        ,13.00            ,-0.42         ,0.71              ,--                   ,17.22                    ,--              ,-275.47      ,15.46                ,1.87     ,716.22    ,726.99    ,753.86     ,719.00    ,744.01     ,31.51                ,40.95     ,33.55                   ,1.01 ,737.71              ,-23.22                    ,-99.11         ,735.59    ,762.72     ,719.08    ,731.24    ,747.04     ,37.53     ,41.98                ,39.47         ,24.43,-4.86      ,-26.69         ,-91.31                    ,719.72    ,755.51     ,734.58    ,39.13                ,14.56                   ,38.82   ,701.73                 ,-18.92         ,-24.03                    ,-136.58    , 
AEG   ,+0.20      ,5.06      ,839801    ,21.13                  ,31.19    ,10.41B    ,7              ,-0.70                     ,23.32     ,5.32      ,-0.12,-93.98      ,83.33                  ,22.11             ,5.48                   ,Insurance                           ,NYSE    ,AEGON NV                 ,Life & Health Insurance              ,0.29    ,5.09          ,5.06  ,52700   ,1646933      ,1991779     ,50.99                   ,42.16                  ,No        ,5.05  ,5.07  ,5.07  ,45.09                 ,1645774       ,1822677    ,51.03                    ,46.07                 ,No                ,Financials            ,5.60          ,5.09      ,5.01  ,50300   ,1775072     ,62.33                     ,47.31                  ,8.51M          ,No                  ,-- ,***      ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,483.63M   ,55.10B ,483.63M ,2.07B             ,0.16    ,0.16      ,-0.30     ,--          ,0.32      ,0.41      ,0.82      ,47.40                       ,0.97    ,1875.31           ,-0.03  ,-0.06                  ,-7.11                      ,-0.0239                ,-7.56                   ,-28.31               ,+16.41               ,+32.58               ,+1.48     ,5.12         ,5.84     ,1.02                   ,5.03      ,3.36     ,16.67                   ,6.84                         ,-0.59   ,-0.04 ,-0.53                  ,-0.03                 ,-0.4305                ,-0.47                    ,-7.96                ,-35.93               ,-7.23                ,+1.81             ,3               ,5.27      ,5.84    ,5.03        ,5.03    ,-1.65                ,0.01           ,+0.01    ,-0.79 ,-0.036                  ,-0.3895                  ,-7.80                    ,-0.416                ,-0.42                ,+2.12                ,+32.90               ,+0.11             ,5.84       ,6.09      ,5.03     ,5.03   ,0.06         ,14.00            ,-0.05         ,1.34              ,--                   ,31.19                    ,0.42            ,49.72        ,--                   ,0.19     ,5.25      ,5.50      ,5.24       ,5.37      ,5.30       ,24.51                ,46.54     ,40.91                   ,6.02 ,6.01                ,-0.53                     ,-0.58          ,5.49      ,4.74       ,5.41      ,5.43      ,5.25       ,41.10     ,46.93                ,34.23         ,6.25 ,-0.07      ,-0.43          ,-0.57                     ,5.48      ,5.43       ,5.41      ,41.71                ,20.05                   ,8.09    ,4.95                   ,-0.57          ,-0.53                     ,5117.25    , 
CIEN  ,-1.24      ,22.68     ,1517163   ,21.20                  ,37.90    ,3.26B     ,28             ,-0.91                     ,29.67     ,23.58     ,-0.43,-100.00     ,0.91                   ,-8.96             ,23.52                  ,Communications Equipment            ,NYSE    ,CIENA CORP               ,Communications Equipment             ,--      ,23.07         ,22.67 ,2200    ,1984018      ,2836465     ,76.47                   ,53.49                  ,No        ,22.96 ,23.22 ,22.68 ,98.20                 ,4071178       ,2867523    ,37.27                    ,52.91                 ,Yes               ,Information Technology,--            ,23.07     ,22.67 ,2500    ,3977162     ,69.30                     ,38.15                  ,46.50M         ,No                  ,C  ,***      ,B                  ,41.67          ,29.17                 ,29.17           ,--                     ,--              ,24                ,1.88              ,72.58M    ,2.60B  ,72.58M  ,141.32M           ,0.61    ,0.51      ,0.10      ,1.70        ,-0.38     ,-0.83     ,-1.45     ,19.41                       ,2.79    ,468.15            ,-0.40  ,-0.92                  ,-1.92                      ,-0.06                  ,-5.84                   ,+22.27               ,+45.83               ,+25.92               ,+1.69     ,23.80        ,26.26    ,3.62                   ,22.73     ,15.62    ,99.09                   ,3.78                         ,-1.71   ,-0.11 ,-1.80                  ,-0.04                 ,-0.83                  ,-0.25                    ,-5.49                ,+3.83                ,-3.28                ,+12.34            ,27              ,23.81     ,26.84   ,22.94       ,22.73   ,-7.05                ,0.55           ,-0.28    ,-0.48 ,-0.21                   ,-0.45                    ,-3.47                    ,-1.43                 ,+24.13               ,+47.47               ,+8.30                ,+3.23             ,26.26      ,26.84     ,22.94    ,22.73  ,0.55         ,21.00            ,-0.01         ,1.63              ,--                   ,44.93                    ,9.15            ,137.83       ,13.61                ,1.25     ,23.46     ,24.55     ,23.25      ,23.74     ,23.65      ,34.54                ,46.75     ,30.55                   ,--   ,24.16               ,-2.73                     ,-1.53          ,24.48     ,22.26      ,23.53     ,24.09     ,23.43      ,42.04     ,47.97                ,33.48         ,22.57,-0.38      ,-1.45          ,-1.23                     ,23.52     ,23.89      ,24.05     ,44.00                ,15.22                   ,38.48   ,22.88                  ,-3.50          ,-1.50                     ,-2916.50   , 
ALV   ,-1.03      ,97.37     ,735675    ,22.17                  ,15.68    ,8.89B     ,73             ,+0.18                     ,26.93     ,101.56    ,-1.46,-97.05      ,16.56                  ,-16.87            ,102.30                 ,Auto Components                     ,NYSE    ,AUTOLIV INC              ,Auto Parts & Equipment               ,2.40    ,100.69        ,97.31 ,200     ,738008       ,512206      ,99.59                   ,143.50                 ,No        ,98.38 ,98.63 ,97.37 ,50.96                 ,555293        ,584152     ,132.36                   ,125.82                ,No                ,Consumer Discretionary,2.40          ,100.69    ,97.12 ,400     ,543978      ,95.98                     ,135.12                 ,74.75M         ,No                  ,NC ,**       ,B+                 ,6.90           ,10.34                 ,55.17           ,13.79                  ,13.79           ,29                ,3.17              ,561.60M   ,10.07B ,561.60M ,88.33M            ,6.42    ,6.42      ,5.17      ,6.60        ,5.06      ,5.07      ,5.08      ,8.82                        ,5.63    ,163.80            ,-3.32  ,-5.15                  ,-1.58                      ,-4.59                  ,-6.17                   ,-9.52                ,+71.48               ,-3.21                ,+1.09     ,102.56       ,107.75   ,27.68                  ,99.53     ,93.31    ,83.44                   ,4.64                         ,-3.30   ,-2.31 ,-17.31                 ,-0.04                 ,-1.94                  ,-4.36                    ,-10.53               ,+8.41                ,-9.14                ,+15.75            ,10              ,103.01    ,116.99  ,99.53       ,99.53   ,-3.81                ,1.26           ,-1.01    ,-2.29 ,+0.18                   ,-1.61                    ,-1.89                    ,-6.63                 ,-11.81               ,+61.07               ,-3.16                ,+7.13             ,107.75     ,126.31    ,99.53    ,99.53  ,1.51         ,11.00            ,-0.25         ,0.67              ,--                   ,15.68                    ,5.58            ,33.71        ,15.25                ,0.88     ,101.07    ,105.37    ,105.19     ,102.09    ,105.66     ,38.40                ,41.95     ,38.67                   ,2.95 ,105.88              ,-2.08                     ,-15.91         ,106.74    ,106.11     ,101.89    ,104.36    ,105.99     ,37.45     ,44.79                ,39.06         ,21.22,-1.27      ,-6.26          ,-12.57                    ,102.30    ,106.50     ,104.76    ,42.06                ,16.95                   ,23.19   ,98.72                  ,-4.67          ,-2.67                     ,-1295.47   , 
CAL   ,-2.34      ,25.47     ,172229    ,22.60                  ,17.21    ,1.12B     ,17             ,-1.24                     ,27.11     ,27.23     ,-1.11,-96.46      ,4.69                   ,14.93             ,28.05                  ,Specialty Retail                    ,NYSE    ,CALERES INC              ,Apparel Retail                       ,0.28    ,26.16         ,25.48 ,100     ,384918       ,322304      ,44.74                   ,53.44                  ,No        ,26.08 ,26.08 ,25.51 ,88.69                 ,535539        ,334850     ,32.16                    ,51.43                 ,No                ,Consumer Discretionary,1.10          ,26.16     ,25.44 ,400     ,529487      ,46.62                     ,32.53                  ,10.28M         ,Yes                 ,C  ,--       ,B                  ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,7                 ,2.00              ,66.09M    ,2.58B  ,66.09M  ,42.96M            ,1.52    ,1.52      ,1.85      ,2.17        ,1.89      ,0.88      ,0.64      ,11.00                       ,2.55    ,214.95            ,-0.69  ,-0.96                  ,-6.74                      ,-3.30                  ,-12.84                  ,-17.85               ,+203.66              ,+9.93                ,+0.58     ,26.51        ,32.83    ,10.53                  ,25.23     ,21.27    ,95.31                   ,7.07                         ,-2.64   ,-0.08 ,-7.68                  ,-0.05                 ,-2.28                  ,-11.21                   ,-20.09               ,+2.51                ,-19.30               ,+10.88            ,0               ,27.70     ,33.95   ,26.06       ,25.23   ,-4.17                ,0.61           ,-0.61    ,-0.31 ,-0.33                   ,-1.89                    ,-8.01                    ,-3.86                 ,-5.65                ,+71.99               ,+4.95                ,+4.76             ,32.01      ,36.61     ,26.06    ,25.23  ,0.64         ,4.00             ,-0.03         ,0.74              ,--                   ,17.21                    ,4.70            ,32.06        ,12.05                ,0.44     ,26.58     ,29.50     ,29.85      ,27.64     ,29.32      ,31.37                ,42.22     ,31.56                   ,3.54 ,32.14               ,-3.88                     ,-5.83          ,29.78     ,28.03      ,27.27     ,29.03     ,29.21      ,37.60     ,43.40                ,28.30         ,11.60,-0.97      ,-4.85          ,-5.83                     ,28.05     ,30.78      ,29.22     ,39.35                ,17.64                   ,18.94   ,23.96                  ,-4.27          ,-4.50                     ,1320.87    , 
BAH   ,+0.28      ,35.15     ,518091    ,22.89                  ,21.13    ,5.26B     ,4              ,-0.75                     ,31.71     ,35.89     ,-0.18,-91.13      ,86.84                  ,-20.29            ,36.39                  ,IT Services                         ,NYSE    ,BOOZ ALLEN HAMILTON HLDG ,IT Consulting & Other Services       ,0.68    ,35.08         ,35.14 ,700     ,1218617      ,1323669     ,42.51                   ,39.14                  ,No        ,35.05 ,35.19 ,35.15 ,95.15                 ,1114644       ,1295338    ,46.48                    ,40.00                 ,No                ,Information Technology,1.90          ,35.08     ,34.90 ,400     ,1128816     ,50.30                     ,45.90                  ,43.22M         ,No                  ,C  ,--       ,--                 ,60.00          ,30.00                 ,10.00           ,--                     ,--              ,10                ,1.50              ,294.09M   ,5.41B  ,294.09M ,149.95M           ,1.66    ,1.94      ,1.52      ,1.73        ,1.54      ,1.45      ,1.70      ,8.96                        ,5.44    ,239.19            ,+0.07  ,-0.31                  ,-3.59                      ,+0.42                  ,-1.78                   ,+27.27               ,+354.13              ,+21.16               ,+1.01     ,35.60        ,37.69    ,3.36                   ,34.93     ,27.02    ,13.16                   ,3.21                         ,+0.19   ,-0.03 ,-1.04                  ,-0.02                 ,-1.32                  ,+1.21                    ,-2.26                ,+78.71               ,-1.40                ,+52.97            ,12              ,35.90     ,37.69   ,34.93       ,34.93   ,-7.88                ,0.04           ,+0.10    ,-0.09 ,-0.27                   ,-1.31                    ,-3.62                    ,-0.63                 ,+19.20               ,+232.97              ,+13.04               ,+8.21             ,37.69      ,38.54     ,34.93    ,32.75  ,0.29         ,24.00            ,-0.25         ,0.91              ,--                   ,18.07                    ,--              ,363.40       ,20.30                ,0.97     ,35.79     ,35.63     ,35.05      ,35.96     ,35.15      ,29.77                ,49.94     ,30.11                   ,8.87 ,37.93               ,-0.86                     ,-1.06          ,35.69     ,33.16      ,36.28     ,35.84     ,34.83      ,46.35     ,49.70                ,37.93         ,7.19 ,0.06       ,0.54           ,-0.86                     ,36.39     ,35.93      ,35.73     ,45.92                ,13.55                   ,7.27    ,34.84                  ,-1.03          ,0.57                      ,-3039.92   , 
HYH   ,-0.45      ,37.34     ,191746    ,23.00                  ,44.29    ,1.76B     ,20             ,-0.64                     ,30.84     ,38.22     ,-0.50,-92.40      ,37.14                  ,-23.90            ,38.48                  ,Health Care Equipment & Supplies    ,NYSE    ,HALYARD HEALTH INC       ,Health Care Supplies                 ,--      ,37.65         ,37.32 ,200     ,287978       ,327179      ,66.58                   ,58.61                  ,No        ,37.51 ,37.67 ,37.36 ,92.90                 ,279211        ,314912     ,68.67                    ,60.89                 ,Yes               ,Health Care           ,--            ,37.65     ,37.15 ,200     ,285077      ,45.04                     ,67.26                  ,10.91M         ,No                  ,A  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,39.80M    ,1.59B  ,39.80M  ,46.68M            ,0.85    ,0.85      ,-9.15     ,1.84        ,0.58      ,3.32      ,3.28      ,--                          ,2.50    ,132.69            ,-0.31  ,-0.90                  ,-2.16                      ,+0.46                  ,-3.33                   ,-22.58               ,0.00                 ,+17.13               ,+1.80     ,38.44        ,40.54    ,4.17                   ,37.26     ,26.05    ,62.86                   ,2.29                         ,-0.82   ,-0.14 ,+0.23                  ,-0.02                 ,-1.09                  ,+1.23                    ,+1.81                ,0.00                 ,+3.00                ,+3.69             ,6               ,38.50     ,41.84   ,37.54       ,37.26   ,-11.10               ,0.33           ,-0.17    ,-0.37 ,-0.24                   ,-0.83                    ,-2.80                    ,-1.30                 ,+32.58               ,0.00                 ,+9.90                ,+1.95             ,40.24      ,41.84     ,37.54    ,36.00  ,0.53         ,49.00            ,-0.20         ,1.90              ,--                   ,44.29                    ,--              ,52.52        ,20.46                ,1.10     ,37.87     ,39.22     ,37.52      ,38.41     ,38.02      ,34.37                ,48.14     ,25.54                   ,7.60 ,40.01               ,-2.35                     ,-0.43          ,39.00     ,36.38      ,38.19     ,38.70     ,37.69      ,43.82     ,48.93                ,33.17         ,19.07,-0.42      ,-2.44          ,-0.14                     ,38.48     ,38.27      ,38.61     ,45.13                ,12.82                   ,27.99   ,36.96                  ,-2.31          ,-2.11                     ,-974.91    , 
KAR   ,-1.31      ,42.26     ,1289830   ,23.39                  ,26.93    ,5.89B     ,69             ,-0.85                     ,23.69     ,43.84     ,-0.53,-92.50      ,27.37                  ,-6.96             ,44.23                  ,Commercial Services & Supplies      ,NYSE    ,KAR AUCTION SERVICES INC ,Diversified Support Services         ,1.28    ,43.09         ,42.25 ,200     ,751658       ,943490      ,171.58                  ,136.70                 ,No        ,42.82 ,43.02 ,42.26 ,99.56                 ,778281        ,890728     ,165.72                   ,144.80                ,No                ,Industrials           ,3.00          ,43.09     ,41.98 ,300     ,812273      ,133.29                    ,158.78                 ,32.85M         ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,12                ,1.67              ,222.40M   ,3.15B  ,222.40M ,136.73M           ,1.60    ,1.60      ,1.51      ,2.19        ,1.19      ,0.48      ,0.66      ,10.51                       ,7.06    ,206.90            ,-0.83  ,-1.47                  ,-2.59                      ,-0.48                  ,-4.31                   ,+22.04               ,+210.27              ,+6.90                ,+1.33     ,43.87        ,45.64    ,4.01                   ,43.06     ,35.68    ,72.63                   ,4.14                         ,-1.93   ,-0.27 ,-1.44                  ,-0.04                 ,-1.35                  ,-1.11                    ,+1.83                ,+57.37               ,+3.20                ,+15.98            ,4               ,44.32     ,47.03   ,43.06       ,43.06   ,-6.30                ,0.76           ,-0.56    ,-0.63 ,-0.37                   ,-1.14                    ,-3.03                    ,-1.94                 ,+17.84               ,+146.25              ,+2.67                ,+3.61             ,45.64      ,47.03     ,43.06    ,42.74  ,1.04         ,46.00            ,-0.29         ,1.16              ,--                   ,26.93                    ,--              ,169.26       ,19.70                ,1.87     ,43.55     ,44.97     ,43.59      ,44.04     ,43.99      ,30.66                ,44.24     ,39.60                   ,7.50 ,45.94               ,-1.90                     ,-2.36          ,45.05     ,42.97      ,44.01     ,44.41     ,43.76      ,38.37     ,46.76                ,47.06         ,10.37,-0.37      ,-3.00          ,-1.20                     ,44.23     ,43.83      ,44.37     ,42.12                ,14.25                   ,22.48   ,42.53                  ,-2.47          ,-2.10                     ,-857.41    , 
MPG   ,0.00       ,22.25     ,125591    ,24.26                  ,16.01    ,1.51B     ,3              ,-1.64                     ,26.48     ,22.84     ,-0.24,-88.57      ,50.00                  ,-25.45            ,23.03                  ,Auto Components                     ,NYSE    ,METALDYNE PERFORMANCE GRO,Auto Parts & Equipment               ,0.37    ,22.25         ,22.15 ,3200    ,137561       ,295587      ,91.30                   ,42.49                  ,No        ,22.25 ,22.35 ,22.25 ,20.26                 ,178495        ,233427     ,70.36                    ,53.80                 ,No                ,Consumer Discretionary,1.70          ,22.25     ,22.15 ,14400   ,177346      ,38.55                     ,70.82                  ,3.09M          ,No                  ,NR ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,96.90M    ,2.79B  ,96.90M  ,67.92M            ,1.39    ,1.39      ,1.80      ,1.80        ,1.06      ,0.86      ,-1.96     ,13.00                       ,3.45    ,232.56            ,0.00   ,-0.65                  ,-3.40                      ,+1.34                  ,-4.41                   ,+31.93               ,0.00                 ,+68.59               ,+1.95     ,22.90        ,23.85    ,1.65                   ,22.05     ,12.55    ,50.00                   ,3.18                         ,0.00    ,0.00  ,-0.65                  ,-0.02                 ,-0.87                  ,+6.41                    ,-2.67                ,0.00                 ,-0.04                ,+14.77            ,5               ,23.00     ,24.00   ,22.05       ,22.05   ,-9.60                ,0.10           ,0.00     ,0.00  ,-0.37                   ,-0.78                    ,-3.77                    ,-1.03                 ,+39.51               ,0.00                 ,+45.40               ,+3.05             ,23.80      ,24.00     ,22.05    ,22.05  ,0.20         ,28.00            ,-0.10         ,0.69              ,--                   ,16.01                    ,--              ,269.71       ,12.36                ,0.54     ,22.70     ,23.33     ,21.47      ,22.93     ,21.98      ,26.48                ,51.34     ,37.08                   ,11.43,23.86               ,-1.20                     ,-0.35          ,23.29     ,19.10      ,22.96     ,22.94     ,21.56      ,44.57     ,51.34                ,45.95         ,16.59,-0.15      ,-1.30          ,-0.40                     ,23.03     ,22.50      ,22.79     ,44.57                ,13.73                   ,22.61   ,22.20                  ,-0.90          ,-1.25                     ,-620.41    , 
CBG   ,-1.83      ,32.91     ,3177260   ,24.81                  ,19.95    ,11.39B    ,152            ,-1.12                     ,29.09     ,34.51     ,-0.26,-86.42      ,48.75                  ,-9.91             ,35.07                  ,Real Estate Management & Development,NYSE    ,CBRE GROUP INC           ,Real Estate Services                 ,--      ,33.71         ,32.90 ,200     ,2841606      ,2442232     ,111.81                  ,130.09                 ,Yes       ,33.52 ,33.52 ,32.91 ,86.54                 ,2507549       ,2285968    ,126.70                   ,138.99                ,No                ,Real Estate           ,--            ,33.71     ,32.32 ,1700    ,2435874     ,82.81                     ,130.43                 ,97.15M         ,No                  ,B  ,***      ,B+                 ,33.33          ,44.44                 ,22.22           ,--                     ,--              ,9                 ,1.89              ,584.06M   ,--     ,584.06M ,337.83M           ,1.69    ,1.69      ,1.63      ,2.40        ,1.45      ,0.95      ,0.97      ,12.50                       ,4.38    ,174.29            ,-0.80  ,-1.90                  ,-3.87                      ,+2.65                  ,+0.79                   ,-10.13               ,+74.30               ,+31.38               ,+1.81     ,35.04        ,36.74    ,3.22                   ,33.40     ,24.11    ,51.25                   ,5.61                         ,-2.39   ,-0.19 ,+0.90                  ,-0.03                 ,-1.61                  ,+8.52                    ,+7.05                ,+26.83               ,+10.48               ,+20.40            ,0               ,35.04     ,36.74   ,33.56       ,33.40   ,-8.21                ,0.62           ,-0.62    ,-0.56 ,-0.38                   ,-1.36                    ,-4.55                    ,+0.26                 ,+20.71               ,+37.78               ,+24.34               ,+5.36             ,36.74      ,36.74     ,33.40    ,29.69  ,1.20         ,77.00            ,-0.59         ,0.86              ,--                   ,19.95                    ,--              ,83.78        ,14.04                ,--       ,34.24     ,34.12     ,31.42      ,34.63     ,32.73      ,35.40                ,50.40     ,35.50                   ,13.58,37.03               ,-2.21                     ,1.70           ,33.56     ,30.19      ,34.75     ,34.07     ,32.34      ,46.11     ,52.60                ,33.02         ,22.29,0.04       ,1.88           ,1.90                      ,35.07     ,32.34      ,33.77     ,49.45                ,17.87                   ,30.65   ,33.11                  ,-3.25          ,2.22                      ,-3831.16   , 
