Symbol,% Change,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
ASNA  ,-6.26   ,ASCENA RETAIL GROUP INC  ,4.265     ,4736477   ,-6.26      ,NGM/NGS  ,--      ,1.00             , 
SCMP  ,-6.22   ,SUCAMPO PHARMACEUTICALS I,11.30     ,1144723   ,-3.42      ,NASDAQ   ,--      ,3.00             , 
CIG   ,-5.97   ,CIA ENERGETICA DE MINAS  ,3.31      ,4929781   ,-4.34      ,NYSE     ,0.19    ,99.00            , 
BAS   ,-5.82   ,BASIC ENERGY SERVICES INC,30.75     ,686990    ,-3.42      ,NYSE     ,--      ,--               , 
SBS   ,-5.77   ,CIA SANEAMENTO BASICO EST,9.7429    ,1527912   ,-2.57      ,NYSE     ,0.07    ,96.00            , 
ESPR  ,-5.76   ,ESPERION THERAPEUTICS INC,32.06     ,1933275   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
CENX  ,-5.61   ,CENTURY ALUMINUM CO      ,12.38     ,2671040   ,-4.73      ,NGM/NGS  ,--      ,99.00            , 
CWH   ,-5.51   ,CAMPING WORLD HOLDINGS IN,33.54     ,1122820   ,-0.37      ,NYSE     ,0.32    ,96.00            , 
DGAZ  ,-5.45   ,                         ,5.0299    ,25402857  ,-2.33      ,NYSE     ,--      ,--               , 
BKS   ,-5.28   ,BARNES & NOBLE INC       ,8.525     ,773614    ,-5.80      ,NYSE     ,0.60    ,2.00             , 
TEX   ,-5.23   ,TEREX CORP               ,29.51     ,2081961   ,-5.11      ,NYSE     ,0.32    ,66.00            , 
CRR   ,-5.21   ,CARBO CERAMICS INC       ,11.28     ,760487    ,-3.42      ,NYSE     ,--      ,99.00            , 
TTI   ,-5.20   ,TETRA TECHNOLOGIES INC/DE,3.83      ,1495720   ,-5.67      ,NYSE     ,--      ,2.00             , 
BKE   ,-5.18   ,BUCKLE INC               ,17.20     ,820166    ,-5.23      ,NYSE     ,1.75    ,3.00             , 
ERF   ,-5.11   ,ENERPLUS CORP            ,7.99      ,1595158   ,-4.54      ,NYSE     ,0.09    ,19.00            , 
FRAC  ,-5.08   ,KEANE GROUP INC          ,15.13     ,2870886   ,-4.06      ,NYSE     ,--      ,--               , 
AMX   ,-5.07   ,AMERICA MOVIL SA DE CV   ,12.72     ,11541183  ,-3.27      ,NYSE     ,0.29    ,80.00            , 
CEFL  ,-5.06   ,                         ,16.50     ,501293    ,-3.45      ,NYSE AMEX,--      ,--               , 
NCZ   ,-5.04   ,ALLIANZGI CONV & INCM FD ,5.84      ,799312    ,-3.95      ,NYSE     ,0.69    ,69.00            , 
SPWR  ,-5.03   ,SUNPOWER CORP            ,7.18      ,2333521   ,-4.27      ,NCM      ,--      ,92.00            , 
ZTO   ,-5.00   ,ZTO EXPRESS (CAYM) INC -A,11.58     ,3339574   ,-5.31      ,NYSE     ,--      ,13.00            , 
SPLS  ,-4.97   ,STAPLES INC              ,8.515     ,12367225  ,+1.61      ,NGM/NGS  ,0.48    ,12.00            , 
